STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col,DO
2184.0,VASHI CREEK AT AIROLI BRIDGE.,MAHARASHTRA,26.64,7.55,30980.2,8.49,1.85,313.0,581.82,4.78
2185.0,VASHI CREEK AT VASHII BRIDGE.,MAHARASHTRA,28.33,7.42,37849.3,9.18,1.74,235.42,483.33,5.13
2797.0,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",MAHARASHTRA,25.33,7.78,33200.8,8.88,2.02,666.67,879.17,5.5
2798.0,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",MAHARASHTRA,27.58,7.6,48643.4,12.18,1.81,387.5,554.17,4.22
2799.0,"DANDI CREEK, DANDI, PALGHAR, THANE",MAHARASHTRA,27.64,7.6,55022.7,10.04,1.92,571.82,804.55,4.49
2800.0,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",MAHARASHTRA,27.58,7.88,10203.7,8.68,3.49,336.67,498.33,4.88
2801.0,"SAVTA CREEK, SAVTA, DAHANU, THANE",MAHARASHTRA,27.75,8.01,36781.8,8.25,1.17,299.17,563.75,5.44
2802.0,DAHANU CREEK AT DAHANU FORT,MAHARASHTRA,27.83,8.03,36643.8,8.74,1.14,395.0,756.67,5.5
2803.0,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",MAHARASHTRA,29.18,6.9,19209.8,9.7,1.4,157.73,321.36,4.87
2804.0,KARAMBAVANE CREEK AT CHIPLUN.,MAHARASHTRA,23.25,7.32,3484.4,2.75,1.55,4.0,122.5,6.55
2165.0,SEA WATER AT GATEWAY OF INDIA.,MAHARASHTRA,28.73,7.69,52860.0,10.72,1.76,1186.36,1409.09,4.61
2166.0,SEA WATER AT CHARNI ROAD CHOUPATHY.,MAHARASHTRA,27.0,7.66,51690.0,10.68,1.83,958.33,1483.33,4.72
2167.0,SEA WATER AT WORLI SEA FACE.,MAHARASHTRA,28.75,7.71,50894.2,10.42,1.62,1000.0,1454.17,4.86
2169.0,SEA WATER AT VERSOVA.,MAHARASHTRA,25.5,7.79,50604.9,11.64,1.67,595.83,1045.83,4.41
2805.0,"ARNALA SEA, ARNALA, VASAI, THANE",MAHARASHTRA,25.33,7.94,46329.5,9.5,1.6,587.25,984.58,5.18
2806.0,"UTTAN SEA, UTTAN, BHAYANDER, THANE",MAHARASHTRA,25.42,7.98,46166.4,10.11,1.63,560.42,779.17,5.52
2807.0,"NAVAPURA SEA, NAVAPUR, PALGHAR, THANE",MAHARASHTRA,27.58,7.71,55801.7,12.07,2.07,567.92,895.83,4.13
2808.0,SEA WATER AT NARIMAN POINT,MAHARASHTRA,26.91,7.6,54593.6,10.87,1.7,695.46,1090.91,4.78
2809.0,"SEA WATER AT MALABAR HILL, WALKESHWAR, MUMBAI",MAHARASHTRA,28.82,7.67,52354.5,10.55,1.78,722.73,1090.91,4.55
2810.0,"SEA WATER AT HAJI ALI, WORLI, MUMBAI",MAHARASHTRA,28.82,7.75,54210.0,9.63,1.72,1084.09,1527.27,4.56
2811.0,"SEA WATER AT SHIVAJI PARK, DADAR, MUMBAI",MAHARASHTRA,28.91,7.72,54160.0,10.55,1.77,804.55,1218.18,4.78
2812.0,"SEA WATER AT JUHU BEACH, JUHUGAON, SANTACRUZ, MUMBAI",MAHARASHTRA,25.67,7.79,54037.5,11.09,1.83,783.75,1133.33,4.77
